📺央视频道,#genre#
CHC影迷电影,http://175.0.72.132:4022/rtp/239.76.252.242:9000
卡酷少儿,http://175.0.65.93:4022/rtp/239.76.254.81:9000
卡酷少儿,http://175.0.72.132:4022/rtp/239.76.254.81:9000
金鹰卡通,http://175.0.65.93:4022/rtp/239.76.245.120:1234
金鹰卡通,http://175.0.65.93:4022/rtp/239.76.246.107:1234
金鹰卡通,http://175.0.65.93:4022/rtp/239.76.252.120:9000
金鹰卡通,http://175.0.65.93:4022/rtp/239.76.253.107:9000
金鹰卡通,http://175.0.72.132:4022/rtp/239.76.245.120:1234
金鹰卡通,http://175.0.72.132:4022/rtp/239.76.246.107:1234
金鹰卡通,http://175.0.72.132:4022/rtp/239.76.252.120:9000
金鹰卡通,http://175.0.72.132:4022/rtp/239.76.253.107:9000
世界地理,http://116.233.38.20:8888/rtp/233.18.204.179:5140
世界地理,http://175.0.65.93:4022/rtp/239.76.254.57:9000
世界地理,http://175.0.72.132:4022/rtp/239.76.254.57:9000
凤凰中文,http://175.0.65.93:4022/rtp/239.76.246.134:1234
凤凰中文,http://175.0.65.93:4022/rtp/239.76.253.135:9000
凤凰中文,http://175.0.72.132:4022/rtp/239.76.246.134:1234
凤凰中文,http://175.0.72.132:4022/rtp/239.76.253.135:9000
凤凰资讯,http://175.0.65.93:4022/rtp/239.76.246.135:1234
凤凰资讯,http://175.0.65.93:4022/rtp/239.76.253.134:9000
凤凰资讯,http://175.0.72.132:4022/rtp/239.76.246.135:1234
凤凰资讯,http://175.0.72.132:4022/rtp/239.76.253.134:9000
怀旧剧场,http://116.233.38.20:8888/rtp/233.18.204.182:5140
怀旧剧场,http://175.0.65.93:4022/rtp/239.76.254.53:9000
怀旧剧场,http://175.0.72.132:4022/rtp/239.76.254.53:9000
第一剧场,http://116.233.38.20:8888/rtp/233.18.204.184:5140
第一剧场,http://175.0.65.93:4022/rtp/239.76.254.49:9000
第一剧场,http://175.0.72.132:4022/rtp/239.76.254.49:9000
风云剧场,http://175.0.65.93:4022/rtp/239.76.254.50:9000
风云剧场,http://175.0.72.132:4022/rtp/239.76.254.50:9000
风云足球,http://175.0.65.93:4022/rtp/239.76.254.52:9000
风云足球,http://175.0.72.132:4022/rtp/239.76.254.52:9000
